brand,price,car_seller,year,miles,engine_vol,transmission,fuel_type,residuals
Audi,11600.0,BMWorld,2017.0,45571.0,1.0,manual,petrol,1527.3913940153125
Audi,11800.0,BMWorld,2018.0,42909.0,1.6,manual,diesel,
Audi,11899.0,Cazoo,2016.0,21597.0,1.4,manual,petrol,-1748.5236795753444
Audi,11900.0,BMWorld,2015.0,26290.0,1.4,manual,petrol,570.851451149445
Audi,11900.0,Marshall,2016.0,32224.0,1.4,manual,petrol,-1486.3976073753292
Audi,11949.0,Cazoo,2017.0,49897.0,1.0,manual,petrol,2449.7993362656835
Audi,11949.0,Cazoo,2017.0,39341.0,1.0,manual,petrol,
Audi,11999.0,Castle_Donington,2016.0,34784.0,1.4,manual,petrol,
Audi,12049.0,Cazoo,2017.0,27533.0,1.0,manual,petrol,638.8593695265281
Audi,12200.0,BMWorld,2016.0,28356.0,1.4,manual,petrol,-1073.7500115907023
Audi,12249.0,Cazoo,2016.0,44328.0,1.4,manual,petrol,543.7753896401991
Audi,12299.0,Cazoo,2015.0,21163.0,1.4,manual,petrol,
Audi,12349.0,Cazoo,2017.0,26531.0,1.0,manual,petrol,853.241329521783
Audi,12399.0,Cazoo,2017.0,34117.0,1.0,manual,petrol,1551.4433769051957
Audi,12400.0,Marshall,2016.0,27912.0,1.0,manual,petrol,
Audi,12400.0,BMWorld,2016.0,23727.0,1.4,manual,petrol,-1269.2848490992765
Audi,12400.0,BMWorld,2017.0,26874.0,1.0,manual,petrol,
Audi,12600.0,BMWorld,2017.0,17148.0,1.4,manual,petrol,-3752.5768865338487
Audi,12600.0,Hilton,2018.0,43674.0,1.4,manual,petrol,-4260.0689885148495
Audi,12649.0,Cazoo,2018.0,28235.0,1.0,manual,petrol,-822.2919999666228
Audi,12699.0,Cannock,2018.0,39559.0,1.4,manual,petrol,-4659.264720863448
Audi,12700.0,Marshall,2018.0,51036.0,1.4,manual,petrol,-3321.2364337805375
Audi,12749.0,Cazoo,2017.0,17088.0,1.0,manual,petrol,446.3639325480017
Audi,12749.0,Cazoo,2017.0,17521.0,1.4,manual,petrol,-3367.9415112893057
Audi,12849.0,Cazoo,2017.0,11906.0,1.0,manual,petrol,103.57682346078036
Audi,12899.0,Cazoo,2017.0,37986.0,1.0,manual,petrol,2382.0383836709934
Audi,12899.0,Cazoo,2014.0,19037.0,1.4,automatic,petrol,1332.5462876073325
Audi,12900.0,Hilton,2017.0,26000.0,1.4,manual,petrol,-3349.1265760726255
Audi,12949.0,Cazoo,2018.0,32051.0,1.0,manual,petrol,-196.225691923657
Audi,12949.0,Cazoo,2016.0,16660.0,1.4,manual,petrol,-1120.3762379637192
Audi,12949.0,Cazoo,2017.0,25562.0,1.0,manual,petrol,1370.4430453254881
Audi,12999.0,Castle_Donington,2017.0,43335.0,1.4,automatic,petrol,-3638.199127308184
Audi,13000.0,BMWorld,2018.0,36669.0,1.4,manual,petrol,-3805.698420843826
Audi,13050.0,Marshall,2017.0,35725.0,1.0,manual,petrol,1692.9216419150162
Audi,13149.0,Cazoo,2018.0,21380.0,1.0,manual,petrol,-908.032183834137
Audi,13149.0,Cazoo,2019.0,77894.0,1.0,manual,petrol,1799.7925432404081
Audi,13200.0,BMWorld,2018.0,39100.0,1.4,manual,petrol,-3397.9764096138715
Audi,13200.0,BMWorld,2018.0,28580.0,1.4,manual,petrol,-4296.880382520863
Audi,13250.0,BMWorld,2019.0,76764.0,1.0,manual,petrol,1600.4736786899666
Audi,13298.0,C&C,2017.0,19237.0,1.4,manual,petrol,-3138.7931191316784
Audi,13299.0,Cazoo,2017.0,15447.0,1.0,manual,petrol,856.1451664323959
Audi,13399.0,Cazoo,2018.0,37387.0,1.4,manual,petrol,-3141.583780327597
Audi,13449.0,Cazoo,2018.0,26638.0,1.4,manual,petrol,
Audi,13499.0,Fords_of_Winsford,2018.0,26420.0,1.4,manual,petrol,
Audi,13599.0,Cazoo,2018.0,38444.0,1.4,manual,petrol,-2851.2661473087683
Audi,13599.0,Cazoo,2018.0,34439.0,1.0,manual,petrol,657.8220920397252
Audi,13649.0,Cazoo,2017.0,14385.0,1.4,manual,petrol,-2735.9037602470235
Audi,13649.0,Cazoo,2018.0,26761.0,1.0,manual,petrol,51.75890725127465
Audi,13699.0,Cazoo,2018.0,21791.0,1.4,manual,petrol,-4174.217464877078
Audi,13699.0,Castle_Donington,2018.0,35587.0,1.4,manual,petrol,-3778.9230067215576
